,id,title,date,author,technique,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5
573,228442,Ohne Titel (Portal des Parochialhospitals/Waisenstraße 28),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  30 x 23,8 cm",Passepartoutmaß:  70 x 50 cm,,
574,228443,"Ohne Titel (Parochialhospital, Waisenstraße)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
575,228444,Ohne Titel (Mann in der Friedrichstraße),August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  29,9 x 23,9 cm",,,
576,228445,"Ohne Titel (Charlottenburger Schloß, Toreinfahrt)",August 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
577,228446,"Ohne Titel (Kindergraffitti auf Bretterzaun, vermutlich am Westend)",Herbst 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",,,
578,228447,"Ohne Titel (Mauer, vermutlich in Charlottenburg)",Herbst 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,1 cm","Blattmaß:  23,8 x 29,9 cm",,,
579,228448,"Ohne Titel (Kohlenplatz, vermutlich in Charlottenburg)",Herbst 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,1 cm","Blattmaß:  23,8 x 29,9 cm",,,
580,228449,"Ohne Titel (Hundepfleger mit Hund, vermutlich an der Ringbahn am Westend)",Herbst 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  30 x 23,9 cm",Passepartoutmaß:  70 x 50 cm,,
581,228450,Ohne Titel (Hundepfleger mit springendem Hund),Herbst 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5 x 20,6 cm","Blattmaß:  30 x 23,9 cm",,,
582,228451,"Ohne Titel (Blick auf Westend, Ringbahngelände)",Herbst 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,9 x 29,9 cm",,,
583,228452,Ohne Titel (Treffen der Familie Zille in der Charlottenburger Wohnung),Herbst 1901,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,1 cm","Blattmaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
584,228455,Ohne Titel (Hausecke und Mauer am Krögel),1902,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",,,
585,228456,Ohne Titel (Tore und Mauern am Krögel),1902,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",,,
586,228457,Ohne Titel (Mauer und Tor am Krögel),1902,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",,,
587,228458,Ohne Titel (Mauer und Tor am Krögel),1902,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
588,228459,"Ohne Titel (Hauswand, Nahaufnahme, wahrscheinlich am Krögel)",1902,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Blattmaß:  23,8 x 29,9 cm",,,
589,228460,"Ohne Titel (Am Krögel, Blick von der Spreeseite nach Norden)",1902,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,6 x 20,6 cm","Blattmaß:  29,9 x 23,8 cm",,,
